task,condition,step,reward
reverse_text,experience_replay,3,0.23471767795538287
reverse_text,experience_replay,4,0.12633888959421707
reverse_text,experience_replay,5,0.18102779607120179
reverse_text,experience_replay,6,0.4921863232481287
reverse_text,experience_replay,7,0.4352157330832616
reverse_text,experience_replay,8,0.2613357069873086
reverse_text,experience_replay,9,0.41832510091732694
reverse_text,experience_replay,10,0.3516356051721495
reverse_text,experience_replay,11,0.572450583910176
reverse_text,experience_replay,12,0.41235481440203553
reverse_text,experience_replay,13,0.6935406701855619
reverse_text,experience_replay,14,0.664434863333787
reverse_text,experience_replay,15,0.813906684894812
reverse_text,experience_replay,16,0.677847508917304
reverse_text,experience_replay,17,0.6154854062180989
reverse_text,experience_replay,18,0.8202851443944542
reverse_text,experience_replay,19,0.729186753894528
reverse_text,experience_replay,20,0.7455061190152397
reverse_text,experience_replay,21,0.7694710129959684
reverse_text,experience_replay,22,0.7394819748687241
reverse_text,experience_replay,23,0.7399545010394989
reverse_text,experience_replay,24,0.7556589676570984
reverse_text,experience_replay,25,0.8241492659806471
reverse_text,experience_replay,26,0.7223261659982566
reverse_text,experience_replay,27,0.8397301104978341
reverse_text,experience_replay,28,0.7496130206967013
reverse_text,experience_replay,29,0.7862288932496332
reverse_text,experience_replay,30,0.7455547970143268
reverse_text,greso,1,0.18403968877770593
reverse_text,greso,2,0.20306712481639877
reverse_text,greso,3,0.16328699537352473
reverse_text,greso,4,0.19015632023332313
reverse_text,greso,5,0.2191957035008703
reverse_text,greso,6,0.30105965411526053
reverse_text,greso,7,0.4556792580142175
reverse_text,greso,8,0.5572915436521775
reverse_text,greso,9,0.6667892138864445
reverse_text,greso,10,0.6883949652146311
reverse_text,greso,11,0.7155127627364173
reverse_text,greso,12,0.7355989208222824
reverse_text,greso,13,0.6803580721969368
reverse_text,greso,14,0.7515123794749232
reverse_text,greso,15,0.7222507639809095
reverse_text,greso,16,0.7450764134180705
reverse_text,greso,17,0.7507265131632495
reverse_text,greso,18,0.7523260023963289
reverse_text,greso,19,0.7048002355512665
reverse_text,greso,20,0.7720137726665995
reverse_text,greso,21,0.7727357546577375
reverse_text,greso,22,0.7265359327941303
reverse_text,greso,23,0.7757251446579496
reverse_text,greso,24,0.7697455458772449
reverse_text,greso,25,0.7412104836630997
reverse_text,greso,26,0.7274671735198165
reverse_text,greso,27,0.7956538387165103
reverse_text,greso,28,0.7846783416469604
reverse_text,greso,29,0.8097915345266066
reverse_text,greso,30,0.8048416577999907
reverse_text,mu_grpo,1,0.16163981772581035
reverse_text,mu_grpo,2,0.2627141077545936
reverse_text,mu_grpo,3,0.2414947901349512
reverse_text,mu_grpo,4,0.19745154973708906
reverse_text,mu_grpo,5,0.11599707666406607
reverse_text,mu_grpo,6,0.35641602662827304
reverse_text,mu_grpo,7,0.21224326297812618
reverse_text,mu_grpo,8,0.10305877319994734
reverse_text,mu_grpo,9,0.5441757749018562
reverse_text,mu_grpo,10,0.6381359707722516
reverse_text,mu_grpo,11,0.7432066633073954
reverse_text,mu_grpo,12,0.6687546870238906
reverse_text,mu_grpo,13,0.5978770102577732
reverse_text,mu_grpo,14,0.5283033171036697
reverse_text,mu_grpo,15,0.5405691640695336
reverse_text,mu_grpo,16,0.7305304488276003
reverse_text,mu_grpo,17,0.7530902462100452
reverse_text,mu_grpo,18,0.7662411564746222
reverse_text,mu_grpo,19,0.7719376463431431
reverse_text,mu_grpo,20,0.8880446640818327
reverse_text,mu_grpo,21,0.7082505080521729
reverse_text,mu_grpo,22,0.7626894896229298
reverse_text,mu_grpo,23,0.6819827556943554
reverse_text,mu_grpo,24,0.6253622209692059
reverse_text,mu_grpo,25,0.7999171004040164
reverse_text,mu_grpo,26,0.7764720175218733
reverse_text,mu_grpo,27,0.704496983231543
reverse_text,mu_grpo,28,0.7899927588760327
reverse_text,mu_grpo,29,0.7946430094653778
reverse_text,mu_grpo,30,0.7732929965714446
sciknoweval,baseline,1,0.1484375
sciknoweval,baseline,2,0.0859375
sciknoweval,baseline,3,0.0625
sciknoweval,baseline,4,0.1328125
sciknoweval,baseline,5,0.1015625
sciknoweval,baseline,6,0.140625
sciknoweval,baseline,7,0.265625
sciknoweval,baseline,8,0.328125
sciknoweval,baseline,9,0.34375
sciknoweval,baseline,10,0.359375
sciknoweval,baseline,11,0.4375
sciknoweval,baseline,12,0.46875
sciknoweval,baseline,13,0.4140625
sciknoweval,baseline,14,0.484375
sciknoweval,baseline,15,0.6328125
sciknoweval,baseline,16,0.484375
sciknoweval,baseline,17,0.625
sciknoweval,baseline,18,0.53125
sciknoweval,baseline,19,0.3359375
sciknoweval,baseline,20,0.53125
sciknoweval,baseline,21,0.359375
sciknoweval,baseline,22,0.609375
sciknoweval,baseline,23,0.5078125
sciknoweval,baseline,24,0.6171875
sciknoweval,baseline,25,0.6875
sciknoweval,difficulty_targeted,1,0.375
sciknoweval,difficulty_targeted,2,0.0
sciknoweval,difficulty_targeted,3,0.0
sciknoweval,difficulty_targeted,4,0.0
sciknoweval,difficulty_targeted,5,0.0
sciknoweval,difficulty_targeted,7,0.234375
sciknoweval,difficulty_targeted,8,0.0
sciknoweval,difficulty_targeted,9,0.0
sciknoweval,difficulty_targeted,10,0.171875
sciknoweval,difficulty_targeted,11,0.0625
sciknoweval,difficulty_targeted,12,0.0
sciknoweval,difficulty_targeted,13,0.296875
sciknoweval,difficulty_targeted,14,0.25
sciknoweval,difficulty_targeted,15,0.0
sciknoweval,difficulty_targeted,16,0.625
sciknoweval,difficulty_targeted,17,0.0
sciknoweval,difficulty_targeted,18,0.0
sciknoweval,difficulty_targeted,19,1.0
sciknoweval,difficulty_targeted,20,0.35384615384615387
sciknoweval,difficulty_targeted,21,0.0
sciknoweval,difficulty_targeted,22,0.0
sciknoweval,difficulty_targeted,23,0.4375
sciknoweval,difficulty_targeted,24,0.875
sciknoweval,difficulty_targeted,25,0.625
sciknoweval,duet,1,0.1953125
sciknoweval,duet,2,0.0
sciknoweval,duet,3,0.048
sciknoweval,duet,4,0.08396946564885496
sciknoweval,duet,5,0.013888888888888888
sciknoweval,duet,6,0.025210084033613446
sciknoweval,duet,7,0.21875
sciknoweval,duet,8,0.20967741935483872
sciknoweval,duet,9,0.23943661971830985
sciknoweval,duet,10,0.43846153846153846
sciknoweval,duet,11,0.23809523809523808
sciknoweval,duet,12,0.4108527131782946
sciknoweval,duet,13,0.6194690265486725
sciknoweval,duet,14,0.43410852713178294
sciknoweval,duet,15,0.3828125
sciknoweval,duet,16,0.44166666666666665
sciknoweval,duet,17,0.6666666666666666
sciknoweval,duet,18,0.44166666666666665
sciknoweval,duet,19,0.5985915492957746
sciknoweval,duet,20,0.6428571428571429
sciknoweval,duet,21,0.5882352941176471
sciknoweval,duet,22,0.6
sciknoweval,duet,23,0.5416666666666666
sciknoweval,duet,24,0.6
sciknoweval,duet,25,0.325
sciknoweval,experience_replay,1,0.125
sciknoweval,experience_replay,2,0.625
sciknoweval,experience_replay,3,0.0
sciknoweval,experience_replay,4,0.0
sciknoweval,experience_replay,5,0.0
sciknoweval,experience_replay,6,0.0
sciknoweval,experience_replay,7,0.015625
sciknoweval,experience_replay,8,0.21875
sciknoweval,experience_replay,9,0.40625
sciknoweval,experience_replay,10,0.1875
sciknoweval,experience_replay,11,0.0
sciknoweval,experience_replay,12,0.28125
sciknoweval,experience_replay,13,0.328125
sciknoweval,experience_replay,14,0.40625
sciknoweval,experience_replay,15,0.25
sciknoweval,experience_replay,16,0.28125
sciknoweval,experience_replay,17,0.46875
sciknoweval,experience_replay,18,0.71875
sciknoweval,experience_replay,19,0.234375
sciknoweval,experience_replay,20,0.28125
sciknoweval,experience_replay,21,0.09375
sciknoweval,experience_replay,22,0.71875
sciknoweval,experience_replay,23,0.53125
sciknoweval,experience_replay,24,0.09375
sciknoweval,experience_replay,25,0.34375
sciknoweval,greso,1,0.234375
sciknoweval,greso,2,0.0
sciknoweval,greso,3,0.0703125
sciknoweval,greso,4,0.078125
sciknoweval,greso,5,0.203125
sciknoweval,greso,6,0.0546875
sciknoweval,greso,7,0.2265625
sciknoweval,greso,8,0.203125
sciknoweval,greso,9,0.265625
sciknoweval,greso,10,0.140625
sciknoweval,greso,11,0.3203125
sciknoweval,greso,12,0.53125
sciknoweval,greso,13,0.328125
sciknoweval,greso,14,0.578125
sciknoweval,greso,15,0.6875
sciknoweval,greso,16,0.2890625
sciknoweval,greso,17,0.3984375
sciknoweval,greso,18,0.3203125
sciknoweval,greso,19,0.609375
sciknoweval,greso,20,0.4765625
sciknoweval,greso,21,0.5703125
sciknoweval,greso,22,0.8359375
sciknoweval,greso,23,0.4375
sciknoweval,greso,24,0.7109375
sciknoweval,greso,25,0.5546875
sciknoweval,mu_grpo,1,0.1171875
sciknoweval,mu_grpo,2,0.6875
sciknoweval,mu_grpo,3,0.0
sciknoweval,mu_grpo,4,0.0
sciknoweval,mu_grpo,5,0.0
sciknoweval,mu_grpo,6,0.0
sciknoweval,mu_grpo,7,0.0
sciknoweval,mu_grpo,8,0.0
sciknoweval,mu_grpo,9,0.140625
sciknoweval,mu_grpo,10,0.40625
sciknoweval,mu_grpo,11,0.0
sciknoweval,mu_grpo,12,0.0
sciknoweval,mu_grpo,13,0.34375
sciknoweval,mu_grpo,14,0.15625
sciknoweval,mu_grpo,15,0.25
sciknoweval,mu_grpo,16,0.5625
sciknoweval,mu_grpo,17,0.109375
sciknoweval,mu_grpo,18,0.15625
sciknoweval,mu_grpo,19,0.0
sciknoweval,mu_grpo,20,0.25
sciknoweval,mu_grpo,21,0.25
sciknoweval,mu_grpo,22,0.78125
sciknoweval,mu_grpo,23,0.3125
sciknoweval,mu_grpo,24,0.0625
sciknoweval,mu_grpo,25,0.109375
